,augmented_text,label
0,"Hi, I have filled out the form, however I think I may be having a seizure like the doctor takes me to the ai camp request server but the fear of not seeing their ambassadors channel open to everyone please advise",program_logistics
1,"Hi boss, just scanned out the form however just think i may be entering a discord shortly my message takes me to the ai camp students server and I am not seeing another ambassadors channel linked to me please advise ja",program_logistics
2,"Hi, I just wrote out that form, however I think I would be having a discord problem. The link connected me to some ai camp students association but I am not seeing an ambassadors channel open for me to go on",program_logistics
3,... I recently filled out the form however not wish I may enjoy having a discord problem class link takes links to the ai camp students server but I am not letting this ambassadors channel open to many please advise jac,program_logistics
4,"Hi, I just filled out the form however I think I may be having a discord problem the link introduced me to... ai camp portal server but please remember not seeing an ambassadors team open to one please advise yourself.",program_logistics
5,"Hi, I just wrote out the form however I think she may be having a discord problem seeing link joins you to the ai camp students server but I m not letting an ambassadors ball open following me please advise",program_logistics
6,"Hi, I just got out the form however I think I may by having a discord now project director takes in through the ai camp students server no she am not seeing an ambassadors channel open see me please advise jacque",program_logistics
7,"Hi, I just filled out the forms however I think I might be having a discord because seeing link takes room within the ai camp students server thankful I am not leaving an ambassadors channel open helping me please advise Jacque",program_logistics
8,"Hi, I just filled all the form online so I think I can risk having a discord like the link takes me to the ai national students server but I am not seeing an online channel open to me please advise it.",program_logistics
9,"Hi Alice, I just filled out the statement however I guess I may be creating a discord problem. The link tells me to our ai camp students server but we are not seeing an email channel open to me or advise",program_logistics
10,... I just filled out the form however I think you shall be experiencing a discord problem as the president joins me to the main camp students server why am I not seeing an ambassadors club open to me please advise Jacque,program_logistics
11,But thank you for this opportunity! I am excited to be involved as ai pp owner! I tried accepting the ai ambassador weekly huddled day time form but I keep getting a message saying that the form is,program_logistics
12,Hi thank you for this opportunity I am excited to be an ai camp ambassador after I tried accepting the ai for weekly huddled day time pass so I left up a message saying as the form is restricted to users,program_logistics
13,"Hi, see you for this opportunity! I stay excited to be an ai camp ambassador! I tried accepting the chat program weekly huddled day time through but I am getting a message saying that the form is restricted to users",program_logistics
14,Hi thank you for her opportunity I am excited to be an ai camp ambassador. I tried accepting the ai resources weekly during day time form but I keep getting a message saying instead their form is restricted to users children 1 owner,program_logistics
15,Hi thank you for this opportunity I am going to be an ami camp ambassador. I was accepting the ai ambassador weekly huddled day time since but I keep posting a message clearly that that form is restricted to users in,program_logistics
16,Hi thank you for every opportunity! I am excited to be an ai camp ambassador! I tried reading the ai's weekly huddled day time form but I keep getting a message through that the pp is,program_logistics
17,"Hi thank you for this opportunity! I am excited to be an awareness camp ambassador! I love accepting the ai in weekly huddle next time form, but I keep getting a message that the form is restricted because users in your",program_logistics
18,Hi dear you for this opportunity we were excited he be an ai camp ambassador. I will try accepting the ai ambassador weekly huddled day free form but I keep getting a message and that the form is restricted,program_logistics
19,Hi thank you for some opportunity I am excited to be an ai business ambassador. I tried accepting the ai ambassador weekly huddled day time form but I keep getting a mess saying this its channel is restricted as users,program_logistics
20,sincerely thank you for this opportunity I am excited to be the  global ambassador who had tried accepting the ai ambassador weekly huddled day time from webster i keep getting a message saying that the entry is restricted,program_logistics
21,"Hi everyone, I am excited to be an adventure camp ambassador. I tried accepting to ai ambassador weekly huddled day time form but I missed tying a message saying that the form is restricted to users in the owner",program_logistics
22,Happy for adding us option for only now talking to real he is like to discontinue english is your formalities in until botadra.,program_logistics
23,Thanks for hearing the option for james for explaining to you that he would agree to discontinue what made its formalities thanks until webster.,program_logistics
24,"Thanks for providing quick option for me before reading to them, he would have to ask what are the discussions at until award.",program_logistics
25,Thanks for saving the option from me after talking to real she agreed to discontinue the makes any plans for until botadra.,program_logistics
26,Thanks on providing another option as everyone after studying through real he should agree to discontinue we are the formalities thanks to botadra.,program_logistics
27,Thanks for grafting the information for me after that too dad i would like to discontinue how did these formalities to until botadra.,program_logistics
28,Thanks for asking them all of me and agreeing to real he would like a discontinue these are considered formalities in until botadra.,program_logistics
29,Thanks again taking the option for it after talking of real he was like his discontinue and prompted the choice thanks until all the way.,program_logistics
30,Thanks for providing the option for me after diving into you who would make the consider what remained the orders thanks him botadra.,program_logistics
31,Our Lord provided some option from me before talking to say he would like to discontinue my could not formalities thanks... botadra.,program_logistics
32,Thanks for providing the view her readers when talking about my it should like me discontinue what are the choice thanks until botadra.,program_logistics
33,"Hi, I would like to terminate your session for her son what if the process involved if possible do would like to have a discussion with the course instructor to find her take on how real was doing via the course real tells me",program_logistics
34,"No, I would like to terminate this course for my company what had the process involved if possible i would like to open a discussion with the course instructor to have her take on how real was doing during our course real convinced me that",program_logistics
35,"Hi, I would like to explain this course to my son so is some process involved possible? I would like to have a conversation with the course instructor to find out how people are doing on the course real tells me that the practical things",program_logistics
36,"Hi, I would like to terminate any course for you son, what did the process involve? If possible, I would like to have a little discussion with the course instructor to find out how real was doing during her course. Amy tells",program_logistics
37,"Hi, I would like to terminate this course for my son, what is the process involved? If no, she would like to take a discussion with our course instructor to see how real was doing during the course and tell me that the practical",program_logistics
38,"Hi, I would agree to terminate this engagement for one son. What is the process involved? if possible, I would like to have a look at the course instructor to find their take on how real was doing during the lesson. Real",program_logistics
39,"Hi, I would also like to terminate this course for you son what is taking process involved if possible i would like to schedule a discussion with the course instructor to find out her take on how real kept doing during the course real tell",program_logistics
40,"Hi, I would love to terminate this course for my son. What if I would like to have a discussion with the course instructor to find her take on how real was doing during the course. Real tells me that the other things",program_logistics
41,"And I would like to terminate a course for my son, what is the process for if no, I would like to have a justice jury question the course instructor to find out her take on how real was doing during the course.",program_logistics
42,"Hi, I would like to terminate this course and my application what is the process involved if possible and would like to have my discussion with the course supervisor to find out how real was successful on his course. real tells me that the practical",program_logistics
43,"Hi, I would like to terminate this course for my son. How is the process involved? If possible, I would like to have a discussion with the course instructor to find out how real are doing during the course. Real tells ",program_logistics
44,"Hi, I would like to inform you that I believe I remember the warren chief coming to office after October th sometime.",program_logistics
45,So I also prefer to inform you that I like to wait for the chief's class after October second today.,program_logistics
46,So here I prefer to communicate with you that I like to stop warren ahead of class from October the tony.,program_logistics
47,And I was like... inform you because I like to stop the investigation chief s life after october the tony.,program_logistics
48,Hi one to and to inform ye that the get to introduce the warren chief s class after October the tony.,program_logistics
49,"Hi, na feel like n ask you that I like to stop bothering the chief in class after October the online classes.",program_logistics
50,"Hi, I sure like to tell everyone that I like to see the warren chief's class after the monday final.",program_logistics
51,"No, I answer but here inform you because I like to stop warren chief at class on October the tony.",program_logistics
