,augmented_text,label
0,Hello ai camp program committee owes me much for letting me know alien would be really interested in summer program... if you maybe hire her for the summer program that would sound great around sank.,registration
1,Hello ai ai class winner thanks so much for letting me know where aliens would be extremely interested in my program so if you can just apply for the summer camp that can be my regards.,registration
2,Hello ai ai scholarship committee not so much for letting her know alien would be really good in our program so if you can take her for the summer camp that started being planned under sank.,registration
3,Hello ai ai selection committee much for letting me work that would be really interested in this film so there you can watch her for she summer camp that would be great regards sank.,registration
4,Hello the camp scholarship committee thanks so much for letting everyone understand that anyone is really interested beyond this program so if you can hire her for some summer camp that would have great regards.,registration
5,Hello ai camp welcoming committee so much for letting me know she would be really popular as a program so until you did consider her for the summer internship something would be great regards sank.,registration
6,Hello ai camp scholarship committee thanks so much for letting me know julia would be really great in my program before tonight you can consider her for another summer camp that would be your work out.,registration
7,Hello ai camp scholarship committee thanks so much for letting me know we may be really excited with the program so if you can continue preparing for the coming camp it would be great to start.,registration
8,Hello ai camp i hope that is alright i wanted to reach out and see if you had a chance to review their scholarship structure and also to hear information whether or not my daughter alien final qualified with it i,registration
9,"Hello ai camp, I hope all is well. I wanted to reach out and see if you had a chance to review the renewal applications and when we cannot expect nor hear back whether or not my uncle alien final applied for grant",registration
10,"Hello ai camp, I hope all is well. I wanted to reach out and see if you had a chance to complete the scholarship applications and when that should expect to hear back whether or not her friend alien was qualified for it",registration
11,Hello ai camp i hope all is well and they wanted to reach out and see if they had another chance to review the scholarship applications and when we all expect to hear back whether or not my cousin alien final qualified for the study,registration
12,I hope all is great and wanted to reach out and see if you had your chance to review the scholarship applications shortly when we should arrive to hear back whether or not her daughter alien could qualify for it. I believe the decisions if supposed,registration
13,The ai camp I hope all is well and wanted to pop out and see if you had a chance to prepare some scholarship applications and when we should expect to hear back whether or never my daughter mr final qualified for it,registration
14,"Miss Ai girl, I hope all is well and I wanted... reach out and see if you get a chance here review the scholarship applications and when we should expect to hear back whether my daughter alien final asked for it i find",registration
15,At ai camp I hope all is well has wanted to reach out and see if you had a chance to submit the scholarship applications and when students should expect your hear and whether... not my daughter alien final qualified their entrance i,registration
16,"Hi there, she would still look to impress her sister is huge hoping to get physical training they both have and abundance of training so they hope that the school format will allow them to tag between sessions thanks stephanie.",registration
17,From there Charlotte would still not participate her sister linsey also hoping to get some training they both keep an schedule of activities so just hope that the different format would allow them to tag team sessions thanks stephanie.,registration
18,Back there linsey would still like to keep her sister eva also hoping to get some training they both finally got an abundance of activities so we assume that the new format will return them to tag team sessions without you.,registration
19,Hi guns linsey would still like to participate her sister is also hoping to get further training on both have been abundance of options so I hoped that the new instructor still allow him to complete team sessions thanks stephanie,registration
20,Hi there sisters would always like to participate but sister is also starting to get some energy they both have an abundance of practice so I guess that the club format should get them to tag team sessions thanks stephanie.,registration
21,5 hi linsey would still like to participate her sister is probably going to get more training they both have an abundance of ideas so add hope in the new format will allow girls to attend team sessions thanks stephanie.,registration
22,"Hi there, you would still like to participate... sister flex also hoping to start some training they please have an arena of activities her i hope her the new curriculum will allow them to tag team sessions and stephanie.",registration
23,And there I would still like to participate her sister is also hoping to use some training people already have and abundance of activities so I hope that the new format will remind people to tag for champion thanks stephanie.,registration
24,"Hi, this is less mundi and I will finish planning the school summer camp for the next three weeks starting friday which you would appreciate email if you could add this email to the email distribution list too yours very much appreciated.",registration
25,"While this is india mundi and I will be attending the indian summer camp for our final 6 weeks starting from today, I would love to ask if you could post this email to the email distribution list too.",registration
26,2 this afternoon less wilson and I will regret attending the ai summer conference for the next three weeks starting around today i would double it if who could add this email to the online distribution list too love you!,registration
27,"Hi, this is less mundi and Emily will be attending the ai summer camp for the next three hours taking me home. I would enjoy it if they could add this number to the email and list too thank you!",registration
28,Abigail this is less mundi and I will be at the ai ai camp for those next five weeks starting from there. I could appreciate access if you could add this email to the email favorites list please thank,registration
29,"Hi, this is less mundi and less must remain attending the ai summer camp for the next two weeks away from today, but very appreciate it if you could add this message to the email distribution page and thank you.",registration
30,"Hi, this is less smith and they will begin working the ai summer camps for the remaining six weeks starting from today. I would appreciate it just you could add this email to an email distribution list because thank you.",registration
31,"Hi, this is less mundi and I will be attending these three summer courses during the next few weeks starting from 2014 i would appreciate too if you could add this message to their email distribution and too thank you.",registration
32,"Hello, I was hoping to register for the week summer ai camp. I filled out the application for clinking the register for ai courses now but that brought me on the page where the only option was the projects and courses",registration
33,"Hello, I was trying to register during the week summer ai camp. I filled out the note before clinking the code for two courses in but that brought me to a page where the only option was the day consecutive courses then",registration
34,"Hello, I am trying to register for the project summer ai camp. I filled out the form after clinking the current basic ai courses button but that brought me to a page in the only option were the day consecutive",registration
35,"Hello, I am trying to register for the week for ai camp. I filled out the form even clinking the register for the courses button but that brought home across a page where the only option covered 3 day consecutive courses.",registration
36,Hello everyone was trying to register for the week summer of camp natalie typed out the form after clinking the register for ai courses button and she brought me to a page and the only option was the day consecutive,registration
37,"Jessica Hello, I was about to register for the week summer ai camp. I filled out the form after clinking the register for ai courses button and that brought me to a page where the credit option",registration
38,"Hello, I was trying to register her for the week of ai camp. I filled out the form after setting the register of ai courses button on that brought me to a page where the only application was just two consecutive courses",registration
39,As I was trying to register for the week summer ai camp I typed out some form after clinking the register for ai courses button in that brought me to a page where to learn option from the day consecutive courses,registration
40,"Good morning, I am a bit confused. I received an email stating that my son was not able to make the class cut for the winter olympics, however I have not received a refund for when I",registration
41,Today morning I am a bit confused. I received one email stating that my son was not able to make the class cut for the winter class however I had not received a refund and when I registered for the class you paid for,registration
42,"Good morning, I am a bit confused. I received an email stating that the son was still able to make the merit cut for the winter class, however, I have previously received a clue for when I played for the class",registration
43,"Good morning, I am a bit alarmed and received an email stating that my son was not able to make the class cut for the winter class however I have not received my refund for when I played for the class i paid",registration
44,"Good morning, I did a bit confused when I received his email stating that my son is not able to make the class available for the winter class however I have not received a refund for when I played for the part i",registration
45,"Good morning, I am a bit confused and received an email stating that my son was not able to make the funding cut for the winter class however I have not accepted a refund for what I played for the class and paid for",registration
46,Good as I really am a bit confused i received an email stating that my son was not able to make the class accessible for the whole class however I have not received a refund for when I played for the place I paid,registration
47,Good today I became a bit confused when I typed an email stating that my son was not able to make the class credits for the winter class however currently have not received a credit for when I played for the class i,registration
48,Do you guns know when I will call you?,registration
