,augmented_text,label
0,"Hi, richard levi had remained on about when she did make the curl button for the assignment that thou s group did earlier today, but got no response yet can you find out for me then bye tony",others
1,"Yes, richard barry had remained christine and when we can get the move live for the record that warren s group should definitely not require a response yet can you find out for me if the tony",others
2,Hi richard... am told by christine that she can make the curl live for the belief that warren s group had not received a response yet... anyone find out through me that warren s group did not get ,others
3,Sweet mon i only remained christine when she can hit the curl button for work assignment that warren s group did not mail my response yet after you found out for me that the tony s group did not mail,others
4,Captain richard i had remained up about when she can make the curl live for that assignment the warren s group advice did not include a deal where can nobody find out for her.,others
5,"When richard dick had remained christine about when she can air my video live on my assignment that warren s group did, did I arrive a response yet can you find it for me?",others
6,"Hi richard, I had called christine and when she can see the team live for the assignment that warren s group did did not receive a name yet do you find them for me actually no tony.",others
7,"Hi richard, I had left christine asking when u can make the curl live like the assignment that don s group about did Thomas accept another response yet can you cut out for me?",others
8,nick i am kocher and aaron i am a student of the summer program i asked some questions about programming and deep learning my final question is that is it possible to use the system information on a,others
9,Hello you are kocher and currently I am her student of the summer program i have five questions about programming and deep learning my first question is that is it possible to use the system information on a webster into my programming system ,others
10,"Hello, I am kocher and currently I am a student of the summer program i have some questions about programming and deep learning my first question is that is it possible to enter the system information on a webster into any programming",others
11,"Hello, I am kocher and currently I am a participant of the summer program and tried some questions about programming and deep learning my first question is that is it possible to use the system information on a test into my new system ",others
12,Hello i you kocher and currently here am a student of the summer program i have some questions about education and deep learning my main question is that is it possible to use the system information on a webster into my programming,others
13,"Hello, I am kocher and currently I am a student of the programs program i have some questions about programming in deep knowledge my first question is that is it possible to use your system www on a webster into my programming",others
14,"Hello, I am kocher to currently I am a graduate of the summer program and I have some questions about programming and deep learning my first question is... is it possible to use the system information at a webster into my programming",others
15,"Hello, I said kocher and currently I am a student of the summer program and I have some questions about programming and deep learning. my first response is that it is wise to use the system information on a webster into my",others
16,I am a freelance journalist working for the or agency canvas and I am looking for exciting stories to pitch to my journalist network. I noticed your press release and thought it might be their good fit and believe that is my exciting story that could get,others
17,I am a freelance journalist working for the or agency Goodnoon and I am looking for exciting stories to pitch to my journalist network i noticed your press release and thought it might be a good fit we believe that is an exciting,others
18,i am a freelance journalist collaboration for the or group abc and I have been looking for exciting stories to pitch to my journalist network. I noticed your press release and thought it must be a good deal we believe that is another great,others
19,1 am a freelance journalist collaboration within the or agency goodnoon and I was looking for exciting stories to pitch to my journalist network i noticed your press release and thought it might include a suitable fit we believe that is a,others
20,I am a freelance journalist working for the or agency goodnoon and I am looking for exciting stories to pitch to my journalist network. I noticed your magazine release and thought it might be a good catch we believe you are a,others
21,I am speaking freelance journalist collaboration for the or agency goodnoon and I am looking for exciting stories to pitch to my journalist network i noticed your press release and thought it might be a perfect fit we believe that is a great,others
22,I am a freelance journalist working for the or agency goodnoon publications and am looking for exciting stories to pitch to my journalist network. We noticed your press release and hoped it might be a good fit but could get some attention,others
23,I am a freelance journalist contracted for the or agency goodnoon and I went looking for exciting stories to pitch to my facebook network i noticed every magazine release and thought it might be a good fit we believe that is a,others
24,"Hi, hope catherine is well curious if there might be a partner between us my name is dominion miles with manorialfinance we streaming patrol for business like yours offering an easy one stop jobs waking up",others
25,"Hi, hope all is forgiven curious if there might be a overlap between us my husband is Chris miles with manorialfinance we streaming patrol sized businesses like yours offering an easy one stop service for up to less how",others
26,"Hi, hope all girls sincerely curious if there might be a overlap between us my name is dominion also with manorialfinance we streaming distribution for business like yours offering an easy one stop service for up to ",others
27,"Hi, hope all is well curious if there might be a overlap like these my name is dominion miles with manorialfinance on streaming patrol for business like yours offering an easy one up line for up to less worrying",others
28,"Hi, hope all is well as if there might remain a overlap between us my name is dominion miles with this we streaming patrol for business like yours offering an easy one stop service for up to less how does a quick",others
29,"Hi, hope all is well curious if there might be a overlap between us. My name is dominion miles your manorialfinance will streaming patrol among users like yours offering an easy one stop service for up to less",others
30,"Hi, hope all are well curious if there might come a overlap between us my name is dominion here with manorialfinance we streaming patrol for business like yours offering an easy one stop service for up as less how",others
31,"Hi, hope all is well curious if there is any overlap between us my name is dominion miles with manorialfinance we streaming patrol for business like yours provide an automatic one stop service for up to less how about ",others
