,augmented_text,label
0,"Hi there, we were sure capable of one kind of low tax for that city so we did today check off that so on the application is there an income number that I use thanks Julian.",monetary_issues
1,Hi there but thought not sure about the definition of low attendance for ny city so we thought not check off that right on the application is their central telephone number that you called thanks Julian.,monetary_issues
2,Out there we were looking for the definition of low income for ny city so it did not check off that information on the application is there your identification number are you won thanks to the application.,monetary_issues
3,"Hi there, we were pretty sure of the definition of high rise for your city so we did not check off some box on the application find there this income number that somebody wanted thanks Julian.",monetary_issues
4,"Hi there, those were both sure of the definition by low rent for my city although we would indeed check off that box on the application leaving there an income number that you know thanks Julian.",monetary_issues
5,Although there we were not sure of the definition of local tax for one city so please had not checked off that no on your application is there an income number like you use for julian.,monetary_issues
6,"Hi there, we were already sure of the definition of low teach for ny city so we did we pick at that box on the application is there an application number he should use this?",monetary_issues
7,Companies there which were not sure about the definition... low income from ny addresses so we could not check off that box just the application is there the income number that you know thanks Julian!,monetary_issues
8,"Hi there, we were not sure of the upper definition or low tax for New York and so we did not take off his entry on the application. Is there an additional number that you do thanks Julian?",monetary_issues
9,And most weren't sure of their percentage of annual income for ny city so we did not check off that thing called personal application is there the income number that you use thanks Julian.,monetary_issues
10,"Hi there, we were already sure of the sensibility of low fees from ny city so we may not check off a box on the bus and given an income number that you understand thanks Julian.",monetary_issues
11,"Over there, but may not sure of the definition of low income in this city so we did not check off that box which your way is there an additional number that you use back julian.",monetary_issues
12,"Thank you rich, this is happening, can you also send me any tax ID of the camp once again christ me?",monetary_issues
13,Thank you melissa this is perfect can you also hand me the photo id or the present thanks back to schmidt.,monetary_issues
14,"And you rich, this is perfect if you also give up the legal id for the wife or my christ schmidt.",monetary_issues
15,"Thank lord rich, this is everything, but you also take all the tax ID to the camp thanks from christ schmidt.",monetary_issues
16,Thank you rich this album about where you also give me my tax credit for the camp thanks again mon .,monetary_issues
17,"Thank you rich, this is perfect since I also give my first ID from the camp yet again mr schmidt.",monetary_issues
18,Thank you dave this is perfect but you also give him his home id for your camp thanks again christ wonderful!,monetary_issues
19,"Like you rich, this felt perfect that you finally gave me the tax ID for safe camp and again christ.",monetary_issues
20,Thank you joseph they sound delicious can you also sign over the tax return for the camp thanks again christ schmidt.,monetary_issues
21,"Thank goodness rich, this is perfect. Can they also give me extra tax dollars for the social work again christ.",monetary_issues
22,"Thank you rich, this sounded perfect as you also guarantee me nice tax ID for the camp coordinate for Mr Schmidt.",monetary_issues
23,Thank bob because this is perfect and he now gives me the tax credit for the camp thanks for christ schmidt.,monetary_issues
24,"Hello, I have my son render baker up for homework session and winter camp, how do we go about getting the receipt for tax benefit then can't see anything on the webster thanks for any information christ schmidt.",monetary_issues
25,"Hello, I called the son render baker up for his session's winter camp, how do you move toward getting a receipt through training purposes? I did not write anything on the receipt thanks for any into christ schmidt",monetary_issues
26,"Hello, I signed my ass renderer up for this session s winter is ready do I go about getting by receipt on educational purposes i did not see it on the device thanks for any into from today.",monetary_issues
27,"Hello, I signed my son scott scott martin for this book about winter camp how do things go of getting their receipt for tax purposes i did not see anything on a webster thanks for any concern christ",monetary_issues
28,Hello there signed off son brandon baker for a session of winter camp and do I go start getting a receipt for tax purposes? I did even see anything on the webster thanks from your into about Schmidt.,monetary_issues
29,"Hello, I have my son render junior up for this session's winter camp, how could I go about filing a receipt for our tax purposes? I don't answer anyone on its webster looking for any into christ sch",monetary_issues
30,Home mon called up sister render baker up for this session's winter camp how do I go at getting back receipt for tax purposes i may not see anything on the webster thanks and any into on schmidt.,monetary_issues
31,"Hello, I signed my son render baker up to this session's winter camp. How do I go in obtaining a card for tax purposes? I did not find anything on the card and I did not know anything about sch",monetary_issues
32,"Hello, it signed my son in but was for this session's winter camp and do I ring about getting a receipt for tax dollars i did the type this on the webster thanks for any into christ schmidt",monetary_issues
33,"Hello, they signed my son render baker up for this would s winter camp and might I move about getting a receipt at what purposes i did not see anything on the webster important for finding into in schmidt.",monetary_issues
